filename,folder #,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Label
1.1,1.1,0.523619056,0.048635777,-557.8170776,36.98210907,10.63338089,24.45102501,6.48974514,6.372412682,-3.142990828,1.774722576,0.923065186,4.150722027,-3.976274729,3.779201031,0.94297874,4.05564785,-0.050806481,0.971186101,-3.360807657,2.303726196,-2.105032206,1.039001942,1
1.2,1.2,0.442462146,0.137391731,-455.8868713,87.40841675,-0.311609536,20.46484375,10.90105629,4.592587948,-6.784636974,1.602970839,-1.406339765,3.092967749,-1.726561308,3.923574448,4.152895927,4.769304276,-1.219442964,2.840489388,-6.334509373,1.657541275,-1.139110923,-0.183750272,1
1.3,1.3,0.519385636,0.038394582,-594.4071045,51.03144455,1.276477814,12.63622475,8.117246628,3.440528393,-1.963360071,2.35317874,-0.324212104,2.883780718,-0.903391659,4.175457001,2.628620148,2.316234112,-0.403848857,1.58434093,-3.727712631,1.343260646,-0.705031574,-0.2231327,1
1.4,1.4,0.502764463,0.051812038,-581.4555664,53.47682953,2.870681047,13.65126228,7.330792427,2.868249655,-5.559989929,1.340960741,-0.824886382,3.528591871,0.713576615,2.885121822,2.372942686,3.299405575,0.499894768,2.186397076,-5.228302002,0.236747324,0.221486136,0.372492313,1
1.5,1.5,0.451482743,0.166320607,-392.3992004,100.220787,9.657567978,29.94806099,15.6547308,9.05862236,-5.144360542,2.646825075,0.202102751,5.495931625,-0.963928401,4.543006897,2.360062599,4.182476044,-0.043736871,2.862635374,-6.392673969,1.577703953,-1.045754075,2.543181658,1
1.6,1.6,0.440470755,0.155103549,-430.8838501,89.62606049,6.062160492,26.01191139,12.70443249,5.901084423,-7.493341923,2.623571873,-0.072389089,4.579972267,-0.133792743,3.377956629,2.764146566,3.82587719,0.239515975,2.655266047,-6.920656204,-0.036271278,-0.308073848,1.726990104,0
1.11,1.11,0.420998245,0.210429996,-346.9633789,127.4574432,8.214805603,35.37853241,18.56016541,4.904773235,-9.707359314,3.758184433,-2.061378717,7.04708147,-1.53003931,4.481406212,5.315085411,6.114882946,0.190254241,3.326629877,-8.810311317,2.057611704,-1.555486441,1.210405588,1
1.12,1.12,0.495448083,0.069227822,-412.6034241,104.7466965,15.436759,36.5362854,20.42923927,9.87345314,-2.363791227,9.065422058,0.836626232,8.612445831,-1.393418193,6.229631901,2.667663336,5.256192207,-0.037552226,3.613049269,-5.994762421,3.263889313,-1.876654148,3.76777935,1
1.13,1.13,0.429069638,0.164970517,-358.5551147,125.8821945,9.256424904,29.54714584,13.75927067,6.807678699,-4.903703213,6.421825409,0.052852288,4.682127476,0.169649675,6.650319099,5.391849518,6.449156284,-1.737462878,4.176110268,-7.540022373,0.744938254,-0.472274005,2.429145336,1
1.15,1.15,0.462567151,0.125057563,-369.313385,83.36332703,5.008046627,27.72329903,10.25919819,9.249631882,-4.431094646,4.146791935,-1.107409954,10.40030766,0.138707504,5.211926937,0.933782697,4.155965328,0.960374177,1.47719419,-9.616796494,4.229738235,-4.206933975,1.321294427,1
1.17,1.17,0.49048543,0.013245552,-690.5422363,31.21350479,2.046560049,8.766815186,4.646740437,2.168038845,0.074683353,2.360677481,-0.120046981,1.982443333,-0.60529232,2.014189243,0.728992999,1.18415308,-0.385597914,1.149129152,-2.663729191,0.167898044,-0.853146493,0.829561472,1
1.18,1.18,0.439133376,0.162416637,-401.4526978,115.4476166,-0.629328787,23.70805931,13.64574718,10.89498043,-11.20347595,0.114837579,0.68670094,5.8444314,3.088618517,6.057071686,4.313594818,6.813500881,-2.170989752,5.266234875,-8.743653297,0.007127453,-3.299504757,0.101667784,1
1.19,1.19,0.511232853,0.053729519,-383.5773621,112.9016647,8.290472031,44.19782257,27.39496803,8.897079468,5.998816013,10.37395954,-1.807781816,12.78841591,0.046873003,7.292220592,1.461907744,4.324742317,-2.390961409,2.372448921,-4.928703785,6.033151627,-3.526565075,4.538209438,1
1.2,1.2,0.470346192,0.099895024,-477.7508748,84.30524827,1.811820259,21.91028659,12.48498027,5.076923529,-5.503909667,3.393336137,-0.383958151,4.774405162,-1.108234902,5.009907723,3.355212053,4.443221251,-0.072886974,2.667190035,-5.806809266,1.747087677,-1.243271013,0.958023002,1
