filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
2.35,2.35,1.089207714,6.171105969,0.008382328,0.018269165,0.011811091,0.082677637,0.756469552,0.380538206,2.71936316,24.96349523,2.084860179,16.07710342,0
2.36,2.36,0.771089713,25.90734484,0.014742143,0.084705209,0.036762554,0.735251084,0.917240192,0.148575028,4.507801093,41.27580864,1.127883435,17.56528476,0
2.37,2.37,1.034737037,10.66958721,0.014243429,0.04746465,0.032296428,0.355260703,1.530314593,-0.008626181,6.795809843,59.68226913,1.099405634,17.1603043,0
2.38,2.38,1.26739565,2.739811603,0.023488961,0.056853623,0.031237082,0.187422494,0.572908615,0.246186011,1.041331657,8.593629224,0.830693512,17.67449369,0
3.2,3.2,-0.717224505,5.242126767,0.026444614,0.086501396,0.051823149,0.207292594,1.479416778,0.39413088,4.528996167,23.67066844,3.571507487,21.68561207,0
3.3,3.3,-0.682659108,6.879739229,0.020466189,0.097998029,0.061372426,0.429606982,1.017696127,0.33349213,2.940764634,18.31853029,3.392174153,21.72402445,0
3.4,3.4,-0.581798475,3.814253989,0.017992215,0.051391739,0.033346811,0.200080865,0.916427614,0.709142404,1.14891864,17.41212467,3.96734082,21.67341874,0
3.5,3.5,-0.735876636,2.093904969,0.04028418,0.074286426,0.053545329,0.160635986,1.010050091,0.751182688,1.14891864,10.10050091,4.36359082,21.82750433,0
3.6,3.6,-1.388842062,28.16128231,0.009486484,0.077120039,0.044195271,0.618733795,1.189021583,0.680663503,8.885686913,51.12792808,4.048084063,21.7863951,0
3.7,3.7,-0.937047849,5.429097295,0.021467598,0.069057599,0.036970547,0.147882188,1.140918564,0.758157112,2.650163597,19.3956156,5.046983677,21.61374266,0
3.9,3.9,-0.621756203,1.121783301,0.010467916,0.010467916,0.010467916,0.010467916,0.750020283,0.584377692,0.901520291,6.750182551,8.061983677,21.80008826,0
3.1,3.1,-0.815303518,0.640213766,0.042982575,0.042982575,0.042982575,0.042982575,0.975410448,0.676401354,1.221762633,4.877052238,6.67484082,21.8243454,0
3.11,3.11,-1.07015332,3.824679523,0.008358877,0.047582507,0.026813546,0.187694825,0.892187365,0.652378335,1.128770302,20.52030939,4.566419767,21.70687581,0
3.12,3.12,-1.258777293,1.128025223,0.037891755,0.042287027,0.040089391,0.080178782,0.794215858,0.714566957,0.864517092,6.353726862,1.171507487,21.79035874,0
3.13,3.13,-1.753026353,9.652143417,0.03897905,0.138514313,0.065633764,0.459436348,1.008701333,0.31082525,1.994567658,21.182728,-0.001825847,21.81251011,0
3.14,3.14,-1.63544733,13.53647579,0.015106374,0.062865435,0.036467418,0.474076432,1.028108937,0.370495329,2.529467299,42.15246644,4.040674153,18.43149755,0
3.15,3.15,-1.613636824,5.30311214,0.011815519,0.023673424,0.017744471,0.035488943,0.948883161,0.370495329,1.845004991,18.02878007,4.64171582,20.70358915,0
3.16,3.16,-1.506926095,9.701207924,0.00470592,0.007664944,0.00655718,0.039343081,1.066387946,0.687444193,1.610005619,59.71772495,9.928494666,16.28244333,0
