filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
2.38,2.38,1.26739565,2.739811603,0.023488961,0.056853623,0.031237082,0.187422494,0.572908615,0.246186011,1.041331657,8.593629224,0.830693512,17.67449369,1
3.1,3.1,-0.795322882,7.558728356,0.025351397,0.084056135,0.054925219,0.329551317,1.383522121,0.168430742,4.528996167,31.82100878,3.54484082,21.6787204,1
3.2,3.2,-0.717224505,5.242126767,0.026444614,0.086501396,0.051823149,0.207292594,1.479416778,0.39413088,4.528996167,23.67066844,3.571507487,21.68561207,1
3.3,3.3,-0.682659108,6.879739229,0.020466189,0.097998029,0.061372426,0.429606982,1.017696127,0.33349213,2.940764634,18.31853029,3.392174153,21.72402445,1
3.4,3.4,-0.581798475,3.814253989,0.017992215,0.051391739,0.033346811,0.200080865,0.916427614,0.709142404,1.14891864,17.41212467,3.96734082,21.67341874,1
3.5,3.5,-0.735876636,2.093904969,0.04028418,0.074286426,0.053545329,0.160635986,1.010050091,0.751182688,1.14891864,10.10050091,4.36359082,21.82750433,1
3.6,3.6,-1.388842062,28.16128231,0.009486484,0.077120039,0.044195271,0.618733795,1.189021583,0.680663503,8.885686913,51.12792808,4.048084063,21.7863951,1
3.7,3.7,-0.937047849,5.429097295,0.021467598,0.069057599,0.036970547,0.147882188,1.140918564,0.758157112,2.650163597,19.3956156,5.046983677,21.61374266,1
3.8,3.8,-0.885928858,12.27212591,0.012238425,0.060981134,0.037129755,0.482686819,1.019885725,0.746920539,1.89072622,32.63634322,7.243055106,21.46438204,1
3.9,3.9,-0.621756203,1.121783301,0.010467916,0.010467916,0.010467916,0.010467916,0.750020283,0.584377692,0.901520291,6.750182551,8.061983677,21.80008826,1
3.1,3.1,-0.815303518,0.640213766,0.042982575,0.042982575,0.042982575,0.042982575,0.975410448,0.676401354,1.221762633,4.877052238,6.67484082,21.8243454,1
3.11,3.11,-1.07015332,3.824679523,0.008358877,0.047582507,0.026813546,0.187694825,0.892187365,0.652378335,1.128770302,20.52030939,4.566419767,21.70687581,1
3.12,3.12,-1.258777293,1.128025223,0.037891755,0.042287027,0.040089391,0.080178782,0.794215858,0.714566957,0.864517092,6.353726862,1.171507487,21.79035874,1
