filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
1.32,1.32,-0.439769509,40.31769373,0.080643845,0.194819838,0.117527608,1.17527608,2.338860953,0.349608774,5.137593318,65.48810669,13.8704736,73.92114316,low
1.33,1.33,0.351210443,38.34995325,0.018805895,0.07061252,0.031957528,0.28761775,1.043294198,-0.430710285,4.759970348,81.37694741,16.31649182,77.94325027,high
1.34,1.34,0.540065093,43.89302424,0.02306482,0.211534946,0.106977906,1.390712775,1.95834004,0.346556394,4.792674416,82.25028166,11.0124805,75.58309167,high
1.35,1.35,-1.205414876,94.93382011,0.054616147,0.333490584,0.154816911,1.857802937,2.349862238,1.332038972,3.27400652,14.09917343,10.53334716,75.81409396,neutral
1.36,1.36,-0.212047568,38.81162171,0.038398958,0.187405035,0.111878589,0.559392943,3.435891655,1.889425301,5.217173217,13.74356662,14.75301383,79.16467111,high
1.37,1.37,0.771200876,5.835237251,0.062748796,0.162852556,0.103494307,0.31048292,1.099718964,0.234490455,8.292772769,19.79494135,14.86310907,79.18730436,neutral
2.1,2.1,-0.271305126,0.342822316,0.028811796,0.074361061,0.051586428,0.103172857,0.349859598,0.186047409,0.493503726,2.099157589,0.322360179,17.66218612,neutral
2.2,2.2,-0.327523921,0.568353146,0.026791148,0.061846374,0.044318761,0.088637521,0.368443462,0.306690197,0.481439447,2.210660772,1.042360179,17.74018612,neutral
2.3,2.3,-0.408893724,2.215068819,0.006705347,0.013028137,0.009866742,0.019733485,0.96465037,0.440676808,2.215039749,3.858601481,1.497082401,17.67694167,neutral
2.4,2.4,-0.44381183,2.683844841,0.00618865,0.00618865,0.00618865,0.00618865,0.694727365,0.2695834,2.142836868,8.336728383,2.486860179,17.57168223,neutral
2.5,2.5,-0.837260438,25.0163492,0.023595293,0.184786558,0.083563556,0.835635563,1.794784087,0.063211116,5.374052868,59.22787488,2.625931608,16.88098638,neutral
2.6,2.6,-0.523036192,9.456741001,0.011503624,0.080417769,0.042244888,0.38020399,0.478207944,0.066318582,1.591901471,13.38982242,-0.077139821,17.52517778,neutral
2.7,2.7,-0.24651493,7.993471863,0.006574763,0.022279179,0.011990779,0.071944676,0.62509119,-0.1146456,2.378273097,20.0029181,1.871014025,16.1031705,neutral
2.8,2.8,-0.199933399,14.24502063,0.010064428,0.044591924,0.025234548,0.479456404,0.699530736,-0.048474859,2.80893129,37.77465972,4.068637957,17.61608708,neutral
2.9,2.9,-0.871617047,21.43531561,0.031518308,0.256425196,0.104128011,0.520640056,0.790445841,0.142542888,4.180786021,19.76114601,4.191678361,17.49364553,neutral
2.1,2.1,-0.234683355,8.308018247,0.008226313,0.038777645,0.022784912,0.068354735,1.85282058,0.01659913,8.890058963,40.76205276,5.360360179,17.68220612,neutral
2.11,2.11,-0.134406312,3.859543338,0.005223184,0.018647348,0.012043113,0.072258675,0.606735124,0.229551929,1.260682181,13.34817274,5.64603665,17.67955009,neutral
2.12,2.12,-0.089294485,2.442072748,0.033908796,0.056210902,0.04221096,0.16884384,0.612781666,0.314733049,1.381324968,9.191724984,4.525693512,17.44962096,neutral
2.13,2.13,-0.029207337,2.885734456,0.016456812,0.023012861,0.019734836,0.039469673,0.570166733,0.221326285,1.097266041,11.40333467,3.031526846,17.72835874,neutral
2.14,2.14,-0.259310373,7.194986878,0.01183876,0.027977119,0.017767305,0.053301916,0.597047143,0.173434754,1.141318938,13.13503715,2.580485179,17.69730487,neutral
2.15,2.15,-0.247320273,3.753763857,0.06582466,0.076961095,0.071392878,0.142785755,0.525654825,0.224068166,0.904420372,4.730893428,1.523610179,17.72877004,neutral
2.16,2.16,-0.296424494,20.59844569,0.012257942,0.026482186,0.018971263,0.132798838,0.733401573,0.328808041,1.979237936,35.93667709,2.540535855,17.551197,neutral
2.17,2.17,-0.021732778,3.79452493,0.012252239,0.055275299,0.038328811,0.229972866,0.686796219,0.248927892,1.136749135,12.36233194,3.134145893,17.74289628,neutral
2.18,2.18,0.038677883,7.588672237,0.007709632,0.062733502,0.034567824,0.345678236,0.612851301,0.200853569,1.352626608,21.44979553,3.259145893,17.6993709,high
2.19,2.19,0.181824374,0.772959992,0,0,0,0,0.571677815,0.227175632,0.887786291,5.145100333,2.96628875,17.74813016,neutral
2.2,2.2,0.225544196,0.129430322,0,0,0,0,0.558394922,0.294625918,0.947193724,2.79197461,3.117360179,17.75125278,neutral
2.21,2.21,0.078564081,6.352316891,0.014862535,0.069122471,0.036022339,0.252156374,0.688114041,0.149488988,1.374561661,17.89096506,2.770123337,17.61466258,neutral
2.22,2.22,0.338615324,0.731932863,0.030058342,0.030058342,0.030058342,0.030058342,0.640240086,0.584716985,0.708284446,5.121920688,1.879860179,17.74570112,neutral
2.23,2.23,0.09490588,6.723586376,0.013352851,0.068618667,0.044537542,0.311762792,0.753632783,0.518729036,1.382238929,17.333554,1.165415735,17.71185262,high
2.24,2.24,-13.17547299,506.6821231,0.294263443,1.587347023,0.719696592,3.598482961,1.43633133,0.111468231,3.541379246,56.01692188,0.550415735,17.61782572,high
2.25,2.25,0.98429466,2.611402886,0.008584623,0.053044464,0.025254474,0.202035795,0.557620232,0.320582396,0.876270389,11.71002486,1.684860179,17.71463778,high
2.26,2.26,0.63944023,19.77075441,0.01311863,0.07947401,0.039505272,0.750600166,0.787361418,-2.08276817,8.351553429,51.96585357,2.101590948,17.69940045,high
2.27,2.27,-0.494978677,74.74568991,0.039674414,0.37630431,0.126445957,1.643797445,1.240271292,-0.121226116,6.501514557,84.33844784,6.346860179,6.526017042,high
2.28,2.28,-3.386367911,238.5872109,0.682346068,0.682346068,0.682346068,0.682346068,0.7381608,0.082221494,4.063250699,53.14757759,12.00667836,4.800144113,high
2.29,2.29,0.1087116,15.21920193,0.021419295,0.111110153,0.056602563,0.566025634,1.225195586,0.120242252,5.987503164,26.9543029,0.738860179,15.27400691,high
2.3,2.3,0.418116506,14.20157915,0.017473726,0.098122611,0.035552519,0.497735263,1.552072238,0.086974089,7.263757625,72.9473952,-2.991192453,17.26594334,neutral
2.31,2.31,0.641382352,21.64166796,0.014765969,0.027983384,0.020001177,0.080004707,2.530250299,-1.486865915,18.98146258,96.14951136,-2.48371125,14.08211028,neutral
