filename,folder #,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
DS250022Q4.wav,17,0.496943533,0.04187033,-418.3404846,127.3899612,-15.70883369,37.53656006,-18.75635147,28.20620346,-26.10067749,4.425038815,-15.89568615,-1.930189133,-0.247740418,-12.5945015,2.870702505,-18.53172493,6.068126202,-15.0850296,-1.126432419,-4.121678352,-2.118408203,-2.024931669,0.063675875,0.033359693,0.000641464,0.003168644,0.001905054,0.003810109,0.41308714,0.232498221,0.649923507,5.783219953,-2.558674524,8.349208297,high
DS250022Q5.wav,17,0.36337626,0.057926483,-496.5637512,135.354248,12.95407963,52.92781067,31.34189987,13.58380318,-31.13565063,-2.483838081,-20.01920509,-5.433020592,-17.97776031,-7.041189671,-7.284592152,-11.99153996,8.686660767,-19.40640259,-1.211143374,-1.738978982,-0.749979019,-7.717587948,0.088737072,4.312760281,0.015995104,0.06263866,0.038416965,0.192084827,0.552602363,0.238887383,1.40810413,41.44517726,0.959419318,8.122586728,high
DS250022Q6.wav,17,0.397055686,0.106393941,-486.7920532,115.3237534,27.94995499,29.03139687,12.27761936,10.18823242,-23.81885147,-6.745379448,-22.9982872,-9.658889771,-12.37429142,-2.514648438,-4.96228838,-12.72783947,6.033734798,-15.6048851,-5.72300148,-2.436563969,-2.323837042,-5.891918659,0.08446476,0.548101211,0.001217034,0.001971372,0.00157093,0.006283719,0.584266169,0.316355979,1.031409754,28.6290423,0.688370931,8.433035826,neutral
DS250022Q7.wav,17,0.413711727,0.046900596,-489.3526306,119.5113983,-3.677498817,24.2180481,23.28180885,8.332897186,-28.75997734,-4.569826603,-23.90600967,-3.695430279,-3.701681852,-11.85733128,-4.639364243,-1.390851498,6.213571548,-14.1755724,-3.867814064,-7.61703825,-2.924803495,-5.996704578,-0.076878323,0.560275156,0.006217896,0.01831891,0.012736348,0.038209043,0.603162245,0.144647236,0.774512177,13.87273164,0.161426486,8.622861191,neutral
DS250022Q8.wav,17,0.406510532,0.173611879,-461.3358765,101.3337326,25.83971596,24.97028732,10.99757385,6.22166729,-14.85067177,-7.428553104,-19.01946068,-10.33470249,-8.706262589,-7.224500179,-4.050871372,-5.527404308,-1.214404345,-12.38472271,-4.539899826,-4.032060623,-2.706143618,-4.091764927,-0.185707821,1.111674479,0,0,0,0,0.612905596,0.371196291,0.875407702,11.64520633,-0.520379069,8.61109057,neutral
DS250022Q9.wav,17,0.379985541,0.468091786,-436.2112427,100.7714615,5.152367115,12.52715015,13.4125948,0.966565609,-21.0151329,-3.625477076,-10.22217369,-12.41606236,-13.45413589,-5.275269032,0.985179961,-4.643564701,-0.412219524,-10.70471096,-6.446309566,-1.946093798,-2.05934906,-9.261925697,-0.066557065,1.979680172,0.040384237,0.084594652,0.062489444,0.124978889,0.843077357,0.364008483,1.506869934,15.17539242,-0.741271926,8.536130515,high
DS250022Q10.wav,17,0.39167735,0.29876411,-420.7818604,129.2414093,16.42463112,21.82626343,5.642456055,3.980237007,-24.67638969,-2.906918049,-18.45384216,-17.14467049,-13.41006374,-2.036420345,-2.07612133,-6.288946152,4.410662174,-13.74598312,-5.759795666,-4.564067364,-2.95559454,-7.068286896,0.259779889,2.015529208,0.005733133,0.006864356,0.006446499,0.019339498,0.960300069,-0.250948412,3.918778797,42.25320305,-1.606351291,8.460760649,neutral
DS250022Q11.wav,17,0.371117711,0.086722068,-495.0025024,123.3551331,41.35126114,23.83563232,10.61924839,6.512099743,-21.43048859,-8.486718178,-18.29505157,-12.73898125,-8.660758018,-2.560313225,-4.147633553,-6.320823193,1.038395882,-13.45809937,-6.424348831,-4.667152405,-2.354129314,-4.740455627,0.567612066,1.217350122,0.105395809,0.105395809,0.105395809,0.105395809,0.676039209,0.2814818,1.251303432,6.760392091,-2.931629069,8.627911284,neutral
DS250022Q12.wav,17,0.355662107,0.121831745,-514.3578491,124.7604904,47.36439514,22.56613922,2.373867273,3.756274223,-13.08442497,-4.109545708,-12.85545158,-12.27027607,-15.07489109,-3.384327173,-3.319297314,-6.781292915,-1.578875184,-13.50573444,-3.675926685,-4.04869318,-3.278494358,-6.521205425,0.666229693,0.254891564,0.007553051,0.017112202,0.011896764,0.035690293,0.614235893,0.402077243,1.018098999,11.05624608,-3.190557641,8.625266229,neutral
DS250022Q13.wav,17,0.406791627,0.115367912,-508.2444458,114.4267273,51.97793961,21.91701508,3.30927062,0.521972656,-14.67608261,-6.843102932,-10.8499527,-9.942569733,-9.816562653,-5.16953373,-5.788414478,-6.060912609,-1.641727567,-10.60918713,-6.651075363,-4.349462032,-2.697734594,-5.07442379,0.558789883,0.051108258,0.002498,0.002590925,0.002544463,0.005088925,0.599416586,0.356820675,0.981361314,10.78949854,-2.592129069,8.608001284,neutral
DS250022Q14.wav,17,0.397751659,0.224549755,-450.3505554,105.2156296,33.83285141,18.17693901,5.9576478,0.092610769,-16.80923271,-4.300114632,-15.4039259,-14.67295074,-12.59670734,-5.370267391,-2.195056677,-4.684913635,1.325567245,-9.631322861,-6.768024445,-4.585804939,-4.239500523,-6.783524036,0.487099967,0.981084506,0.009817267,0.050908179,0.030362723,0.060725446,0.619749049,0.337386973,0.829352489,16.11347527,-1.546033831,8.436669379,high
DS250022Q15.wav,17,0.392075926,0.445959806,-391.4776001,136.0727386,0.85603112,17.60752487,17.23542976,-2.920431376,-27.06754494,-1.172482729,-16.01875687,-15.95401573,-11.401968,-6.024495602,-2.620665073,-1.181395531,5.05965519,-12.69139481,-7.85013628,-5.131539345,-2.140526056,-7.515936852,0.443907703,0.09774297,0,0,0,0,0.698740702,0.557546865,0.830949779,5.589925619,-0.804129069,8.60827557,high
DS250022Q16.wav,17,0.380337089,0.02509431,-540.8133545,158.9547424,18.42762375,16.16741943,-4.825194836,9.378108978,-15.7074194,9.462846756,-19.43325996,-10.2300806,-10.84826279,-5.858988285,-6.564863205,-10.52751923,8.478549957,-13.4221096,-8.824669838,-12.12926197,-2.018537998,-5.389933586,0.45841961,1.405321307,0.081926542,0.081926542,0.081926542,0.081926542,1.023526829,-0.079772099,4.459195462,18.42348293,-0.519129069,8.645771723,high
DS250022Q17.wav,17,0.497953773,0.017814729,-631.8860474,100.1192856,52.36450195,31.83197403,-4.663956642,24.2915554,-17.63292885,8.635448456,-20.24721718,-9.736444473,-14.70584106,-9.60765934,-3.824980021,-11.90611362,3.244204283,-10.86761665,2.127876043,-7.727988243,0.038154814,-7.964314461,0.470509631,2.677549389,0.011476927,0.106471159,0.056928153,0.17078446,1.001957957,0.245808976,4.818852071,38.07440236,-1.693191569,8.407079703,low
