filename,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,folder #,Label
7-28.wav,0.475272328,0.063149102,-383.9073181,120.2722778,18.25434113,29.81279373,25.74376488,7.72974062,-2.580492496,0.411905259,-0.899187744,9.64645195,3.150877237,6.154567242,3.555206537,-1.928222537,1.795190334,1.788874388,-5.952980995,1.510861874,-2.670963526,0.834238231,7,1
7-30.wav,0.49936834,0.065066509,-382.7526245,122.2457047,16.49617195,32.01727295,24.36659622,6.299124241,-3.393035412,2.764021873,0.383026212,8.745896339,1.353630781,8.062246323,4.732638836,-1.403526783,1.176659465,3.688230038,-5.612340927,2.337535143,-3.643657446,1.21294558,7,1
7-31.wav,0.467852801,0.06730517,-373.0763855,125.475502,14.95001411,27.02151489,18.13388252,9.198637009,-2.984515667,-1.00264883,-2.276046753,8.956435204,1.938819289,10.72603226,2.00777626,-2.729788303,2.510854721,4.743279934,-6.415626526,2.978585482,-4.254741669,0.443971515,7,1
7-32.wav,0.465986788,0.041165374,-379.329895,125.6918945,13.14745331,29.79874229,21.07430458,6.64577198,-4.993730545,3.556017637,-1.083019853,10.41614819,1.989918709,11.55198002,3.104123831,-1.374499083,-0.019006453,3.123142719,-6.912776947,3.282482386,-7.041074753,1.747799635,7,1
7-34.wav,0.503548324,0.064667039,-375.8653564,120.6967392,17.24728966,31.44583893,21.07473564,6.790342331,-4.297339439,2.473592758,-0.985571802,8.647388458,1.060566902,8.444828987,3.358134031,-0.028611893,3.287839413,4.134670734,-5.581208229,3.811199903,-2.868031025,1.424654841,7,1
8-01.wav,0.560267806,0.017643752,-588.7377319,60.07419968,7.93014431,22.77832031,10.08428478,7.296505928,3.196045399,1.559506297,-1.915028811,3.237624168,-1.508962154,4.331543446,-3.077455282,1.479139209,1.793390155,0.218808681,-2.680558681,5.588898659,-4.127039909,2.902638912,8,1
8-05.wav,0.464799017,0.078185305,-473.4762573,89.42736816,9.348126411,22.80681229,7.262067318,4.763514042,5.497938633,-3.135641813,-10.9156208,4.852457523,2.568593264,5.408542156,0.45523721,0.904616594,-2.450229168,1.345310092,-4.919743538,3.587875366,-2.962408543,1.933869243,8,1
8-06.wav,0.453615278,0.065544009,-496.9718323,82.99345398,8.022107124,20.21778679,8.859834671,5.775662422,1.327542543,-3.90212369,-10.40097618,3.491599083,2.961390972,3.874117136,-0.54727751,1.857241392,-1.683212638,1.841309905,-4.876946926,2.42355895,-2.871337175,1.554134965,8,1
8-07.wav,0.451613247,0.076300398,-485.1470032,75.15736389,5.746805191,19.41156006,7.756126404,3.391565323,0.160204053,-4.174146652,-8.82377243,2.48666811,3.964951038,3.742788315,-0.316453606,2.189714909,-1.595695019,1.38384068,-3.598456383,1.901031613,-1.559947491,1.130268574,8,1
8-11.wav,0.457845002,0.0892305,-374.3482056,128.1250763,16.96551704,32.63158798,14.03641701,9.401885986,1.978004575,-5.827619553,-15.81204319,5.105422974,6.96579361,7.818715096,-3.384768963,2.928745985,-2.104783297,4.004923344,-6.300893307,4.178424835,-4.281389236,3.496674538,8,0
